N,L1_error,L1_order,L2_error,L2_order,Linf_error,Linf_order
5,0.041455,0,0.020109,0,0.016189,0
10,0.0099498,2.0588,0.0049952,2.0092,0.004044,2.0011
20,0.0024864,2.0006,0.0012456,2.0037,0.0010089,2.003
40,0.00061254,2.0212,0.0003082,2.0149,0.00025015,2.0119
80,0.00014404,2.0883,7.3868e-05,2.0608,6.0468e-05,2.0485
